id,name,markers,location,meaning,tagline,timestamp
303,Astyoche (Troy),[],"Troy, Troad",,Queen of Mysia | mothered Eurypylus with Telephus; sister of Priam and Tithonus,2026-03-19 19:08:32.115927+00
311,Coroebus,[],"Phrygia, Anatolia",,Prince of Phrygia | son of Anaximene and Mygdon,2026-03-19 19:08:32.115927+00
315,Polyxena,[],"Troy, Troad",,,2026-03-19 19:08:32.115927+00
325,Pylades,[],"Crisa, Phocis","""gate, door""",Prince of Crisa | son of Anaxibia and Strophius,2026-03-19 19:08:32.115927+00
331,Strophius,[],"Crisa, Phocis","""twisted, slippery""",King of Crisa | fathered Pylades with Anaxibia,2026-03-19 19:08:32.115927+00
339,Hades,"[""Deity""]",Mount Olympus,,deity of the dead and riches | brother of Poseidon and Zeus,2026-03-19 19:08:32.115927+00
340,Lycomedes,[],"Skyros, Euboea",,King of Skyros | father of Deidamia,2026-03-19 19:08:32.115927+00
342,Iphthime,[],"Sparta, Laconia","""stalwart""",Queen of Pherae |  daughter of Icarius and Periboea (Sparta); sister of Penelope,2026-03-19 19:08:32.115927+00
350,Oenone,"[""Nymph"",""Prophet""]","Mount Ida, Troad","""wine""",,2026-03-19 19:08:32.115927+00
355,Theano,[],"Western Thrace, Thrace","""goddess""",,2026-03-19 19:08:32.115927+00
356,Hesperia,"[""Nymph""]","Mount Ida, Troad","""evening (star)""",,2026-03-19 19:08:32.115927+00
358,Ctimene,[],"Ithaca, Ionian Islands","""to aquire, to own""",,2026-03-19 19:08:32.115927+00
359,Telemachus,[],"Ithaca, Ionian Islands","""fighting from afar""",Prince of Ithaca | son of Odysseus and Penelope,2026-03-19 19:08:32.115927+00
360,Eurylochus,[],"Same, Ionian Islands","""far-reaching ambush""",Noble of Same | husband of Ctimene,2026-03-19 19:08:32.115927+00
361,Tyndareus,[],"Sparta, Laconia","""to strike, to push""",King of Sparta | fathered Helen and Castor with Leda; brother of Icarius; half-brother of Hippocoön,2026-03-19 19:08:32.115927+00
362,Icarius,[],"Sparta, Laconia","""???""",King of Sparta | fathered Iphthime and Penelope with Periboea (Sparta); brother of Tyndareus; half-brother of Hippocoön,2026-03-19 19:08:32.115927+00
363,Hippocoön,[],"Sparta, Laconia","""master of horses""",King of Sparta | fathered Alcon and Leucippus; half-brother of Icarius and Tyndareus,2026-03-19 19:08:32.115927+00
364,Hermione,[],"Sparta, Laconia","""pile of stones""",,2026-03-19 19:08:32.115927+00
365,Periboea (Sparta),"[""Nymph""]","Sparta, Laconia","""around cattle""",,2026-03-19 19:08:32.115927+00
368,Harpalycus,[],"Amymnaia, Thrace","""plundering wolf""",,2026-03-19 19:08:32.115927+00
371,Anticlea,[],"Mount Parnassus, Phocis","""without fame""",,2026-03-19 19:08:32.115927+00
372,Cebren,"[""Deity""]","Mount Ida, Troad",,,2026-03-19 19:08:32.115927+00
373,Autolycus,"[""Demigod""]","Mount Parnassus, Phocis","""self-wolf""",Thief of Parnassus | fathered Anticlea with Amphithea; son of Chione and Hermes,2026-03-19 19:08:32.115927+00
374,Amphithea,[],,,,2026-03-19 19:08:32.115927+00
